,CODE,NOM,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BR,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
59,6118001050154,INHIBACE,CILAZAPRIL,5,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME SECABLE,179.90,112.40,179.90,P,70%
60,6118000100058,DIAMICRON,GLICLAZIDE,80,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,37.20,24.60,29.70,P,70%
61,6118001030019,TEGRETOL,CARBAMAZEPINE,200,MG,COMPRIME SECABLE,1 BOITE 50 COMPRIME SECABLE,81.10,50.50,56.00,P,70%
62,6118000081579,ANDOL,PARACETAMOL,500,MG,COMPRIME,1 BOITE 20 COMPRIME,10.00,6.20,10.00,G,70%
63,6118000011835,ZECLAR,CLARITHROMYCINE,250,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME,171.65,113.50,90.00,P,70%
64,6118000020769,OREX,CEFALEXINE,250,MG,GRANULE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,37.70,23.50,37.70,G,70%
65,6118001184187,REVLIMID 25 MG,LENALIDOMIDE,25,MG,GELULE,1 BOITE 21 GELULE,-,58465.00,58465.00,P,0%
66,6118000240372,FENAC,DICLOFENAC,50,MG,COMPRIME GASTRO-RESISTANT,1 BOITE 30 COMPRIME GASTRO-RESISTANT,44.10,27.50,44.10,G,70%
67,6118010026553,LIPISTAT,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME ENROBE,232.00,145.10,232.00,G,70%
68,6118001240036,LIPISTAT,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME ENROBE,232.00,145.10,232.00,G,70%
69,6118000030683,CALCIBRONAT,BROMOGALACTOGLUCONATE DE CALCIUM,13.3,%,SIROP,1 FLACON 200 ML,26.40,17.50,26.40,P,0%
70,6118000032076,VITA C 1000,ACIDE ASCORBIQUE (VITAMINE C),1,G,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT,27.70,18.30,27.70,G,0%
71,6118000010494,DUPHALAC,LACTULOSE,66.5,%,SOLUTION BUVABLE,1 FLACON 200 ML,49.35,32.60,49.35,P,0%
72,6118001070169,CIALIS,TADALAFIL,20,MG,COMPRIME PELLICULE,1 BOITE 4 COMPRIME PELLICULE,440.00,-,440.00,P,0%
73,6118000190417,EPHEDRYL,PARACETAMOL / TRIPROLIDINE,2.5 / 25,G / MG,SOLUTION BUVABLE,1 FLACON 100 ML,17.85,11.80,17.85,G,0%
74,6118001180943,ECLARAN,PEROXYDE DE BENZOYLE,5,%,GEL,1 TUBE 45 G,31.45,20.80,31.45,P,0%
75,6118010020063,COQUELUSEDAL NOURRISSON,NIAOULI / GRINDELIA / GELSEMIUM,10/10/5,MG / MG / MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,11.40,7.50,11.40,P,0%
76,6118001184057,NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE,NICOTINE,1.5,MG,PASTILLE A SUCER,1 BOITE 36 PASTILLE,120.40,79.60,120.40,P,0%
77,6118010120664,MICROPAKINE LP 100 MG,VALPROATE DE SODIUM,100,MG,GRANULE LP,1 BOITE 30 SACHET,39.60,26.20,39.60,P,0%
78,6118001081820,MICROPAKINE LP 100 MG,VALPROATE DE SODIUM,100,MG,GRANULE LP,1 BOITE 30 SACHET,39.60,26.20,39.60,P,0%
79,6118001200696,CYTARABINE EBEWE,CYTARABINE,100,MG,SOLUTION POUR PERFUSION,1 FLACON 5 ML,42.00,26.20,42.00,G,70%
80,6118001070824,FLEET PHOSPHO-SODA,HYDROGENOPHOSPHATE DE SODIUM DODECAHYDRATE / DIHYDROGENOPHOSPHATE DE SODIUM HYDRATE,10.8 / 24.4,G / G,SOLUTION BUVABLE,2 FLACON 45 ML,128.00,84.65,128.00,G,0%
81,6118000190707,NEOMOX,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,28.00,17.50,28.00,G,70%
82,6118001050017,ANEXATE 0.5 MG / 5 ML,FLUMAZENIL,0.5,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,1079.00,713.80,1079.00,P,0%
83,6118001200306,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 FLACON 50 ML,-,140.00,140.00,P,0%
84,6118001070602,TOBRADEX,TOBRAMYCINE / DEXAMETHASONE,3 / 1,MG / MG,POMMADE OPHTALMIQUE,1 TUBE 3.5 G,60.00,39.65,60.00,P,0%
85,6118000090199,BAITANET G,POLYVIDONE IODEE,10,%,SOLUTION GYNECOLOGIQUE,1 FLACON 550 ML,41.00,27.10,41.00,G,0%
86,6118000050568,CARDIX,CARVEDILOL,6.25,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME,44.00,27.50,44.00,G,70%
87,6118001183654,CLARELUX 500 µG,PROPIONATE DE CLOBETASOL,500,µG,MOUSSE,1 FLACON 100 G,165.90,109.70,165.90,P,0%
88,6118000040125,BISOLVON,BROMHEXINE,0.2,%,SOLUTION BUVABLE,1 FLACON 60 ML,18.30,12.10,18.30,P,0%
89,6118000220015,ANAFRANIL,CLOMIPRAMINE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE,47.90,29.90,47.90,P,70%
90,6118001170067,AROMASINE,EXEMESTANE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,969.00,689.00,969.00,P,70%
91,6118000150107,CLARADOL PLUS,PARACETAMOL / PROPYPHENAZONE,250 / 150,MG / MG,COMPRIME,1 BOITE 10 COMPRIME,17.25,-,17.25,P,0%
92,6118010121593,VANTEC,CETIRIZINE,10,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME ENROBE,37.70,23.50,37.70,G,70%
93,6118000360049,VANTEC,CETIRIZINE,10,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME ENROBE,37.70,23.50,37.70,G,70%
94,6118001010127,CEFOTRIM,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,61.00,38.00,61.00,G,70%
95,6118000230038,ACIVIR,ACICLOVIR,0.1,G,CREME,1 TUBE 2 G,25.00,-,25.00,G,0%
96,6118000170389,MADECASSOL,CENTELLA ASIATICA,1,%,POMMADE,1 TUBE 10 G,24.00,15.90,24.00,P,0%
97,6118000061311,MITOSYL IRRITATIONS,FOIE DE POISSON / ZINC,13 / 17.55,G / G,POMMADE,1 TUBE 65 G,17.25,11.40,17.25,P,0%
98,6118001150526,PANOXYL,PEROXYDE DE BENZOYLE,5,%,GEL,1 TUBE 40 G,40.20,26.20,40.20,P,0%
99,6118001181735,MICROVAL,LEVONORGESTREL,0.03,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME,13.95,9.20,13.95,P,0%
100,6118001140824,LAMICTAL,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME,41.20,25.70,41.20,P,70%
101,6118001121229,GYNERGENE CAFEINE,ERGOTAMINE / CAFEINE,1 / 100,MG / MG,COMPRIME,1 BOITE 20 COMPRIME,41.80,27.60,41.80,P,0%
102,6118000241119,"ADRENALINE 0,50 MG",EPINEPHRINE,0.5,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE,20.60,13.60,20.60,G,70%
103,6118000040712,SPASMOPRIV,MEBEVERINE,200,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,44.90,28.00,44.90,G,70%
104,6118000100256,COVERSYL,PERINDOPRIL,4,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,232.40,153.70,105.00,P,70%
105,6118001182558,ZOMIG,ZOLMITRIPTAN,2.5,MG,COMPRIME PELLICULE,1 BOITE 6 COMPRIME,323.00,214.00,323.00,P,70%
106,6118001080380,GENHEVAC B,VACCIN ANTI-HEPATITE B,nan,nan,POUDRE POUR SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,148.40,92.50,148.40,P,70%
107,6118010116766,DIMAZOL,CARBIMAZOLE,10,MG,COMPRIME,1 BOITE 100 COMPRIME,88.00,58.20,88.00,G,0%
108,6118000241867,DIMAZOL,CARBIMAZOLE,10,MG,COMPRIME,1 BOITE 100 COMPRIME,88.00,58.20,88.00,G,0%
109,6118001030651,LUMIGAN 0.3MG/ML,BIMATOPROST,0.3,MG,COLLYRE,1 FLACON 3 ML,230.00,152.10,230.00,P,0%
110,6118001120925,MOSCONTIN,MORPHINE,60,MG,COMPRIME LP,1 BOITE 14 COMPRIME,209.00,130.80,209.00,P,70%
111,6118000160823,PENAMOX,AMOXICILLINE,500,MG,GELULE,1 BOITE 12 GELULE,52.50,32.70,46.60,P,70%
112,6118000030270,GENTOSYL,GENTAMICINE,40,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,12.80,8.00,12.80,G,70%
113,6118000013099,CIPROFLOXACINE WIN 250 MG,CIPROFLOXACINE,250,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE,63.40,41.90,63.40,G,70%
114,6118001270699,PAROXETINE GT 20 MG,PAROXETINE,20,MG,COMPRIME PELLICULE,1 FLACON 10 COMPRIME PELLICULE,63.00,39.20,63.00,G,70%
115,6118010024870,PARAPSYLLIUM,TEGUMENT MUCILAGINEUX DE GRAINE DE PSYLIUM / PARAFFINE LIQUIDE,33.33 / 33.33,G / G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 1 FLACON,37.55,-,37.55,G,0%
116,6118000250685,ZOLOFT,SERTRALINE,50,MG,GELULE,1 BOITE 15 GELULE,71.00,44.20,71.00,P,70%
117,6118001220090,SEROHALE 50 µG,SALMETEROL / FLUTICASONE,25 / 50,µG / µG,SUSPENSION POUR INHALATION BUCCALE,1 FLACON 120 DOSE,123.00,76.90,123.00,G,70%
118,6118001184118,SEROHALE 50 µG,SALMETEROL / FLUTICASONE,25 / 50,µG / µG,SUSPENSION POUR INHALATION BUCCALE,1 FLACON 120 DOSE,123.00,76.90,123.00,G,70%
119,6118001030422,ZOMETA,ACIDE ZOLEDRONIQUE,4,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,2689.00,2321.00,2689.00,P,70%
120,6118000190202,BUTAMYL,SALBUTAMOL,1,MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,30.60,19.10,30.60,G,70%
121,6118000190028,ANTISTAPH / PENISTAPH,FLUCLOXACILLINE,500,MG,GELULE,1 BOITE 24 GELULE,89.90,56.00,89.90,G,70%
122,6118010035340,TOTAPEN,AMPICILLINE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 8 FLACON,51.80,-,51.80,P,70%
123,6118001250844,BRONCOTEC,FORMOTEROL,12,µG,GELULE INHALEE,1 BOITE 30 GELULE,123.80,77.40,123.80,G,70%
124,6118000161028,AMOXIL,AMOXICILLINE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,12.20,7.60,12.20,P,70%
125,6118001270194,CEBESINE,OXYBUPROCAINE,0.4,%,COLLYRE,1 FLACON 10 ML,23.00,15.20,23.00,P,0%
126,6118001250592,CHEMOSET,ONDANSETRON,8,MG,COMPRIME PELLICULE,1 BOITE 1 COMPRIME PELLICULE,39.00,24.30,39.00,G,70%
127,6118001141494,ZOFRAN,ONDANSETRON,8,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,1404.60,929.10,643.00,P,70%
128,6118000190950,METROZAL,METRONIDAZOLE,500,MG,OVULE,1 BOITE 10 OVULE,28.00,17.40,28.00,G,70%
129,6118000041467,TRE-ZEN 20 MG,PAROXETINE,20,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE,130.20,86.10,130.20,G,70%
130,6118001200382,ULTRAVIST,IOPROMIDE,370,MG,SOLUTION INJECTABLE,1 FLACON 100 ML,667.60,441.60,667.60,P,0%
131,6118000160113,AMOXIL,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 12 COMPRIME,34.60,21.50,34.60,P,70%
132,6118010033049,OESTRODOSE,ESTRADIOL,0.06,%,GEL,1 FLACON 80 G,86.00,56.90,86.00,P,0%
133,6118001260324,OESTRODOSE,ESTRADIOL,0.06,%,GEL,1 FLACON 80 G,86.00,56.90,86.00,P,0%
134,6118010116094,SPIRIVA,TIOTROPIUM,18,µG,GELULE INHALEE,1 BOITE 30 GELULE,571.00,378.00,571.00,P,70%
135,6118001040223,SPIRIVA,TIOTROPIUM,18,µG,GELULE INHALEE,1 BOITE 30 GELULE,571.00,378.00,571.00,P,70%
136,6118001121052,VITRIMIX KV *,MULTIPLE,nan,nan,PREPARATION INJECTABLE POUR PERFUSION,1 BOITE 2 FLACON,391.90,-,391.90,P,0%
137,6118000071150,NOCOL,SIMVASTATINE,40,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,198.00,123.70,198.00,G,70%
138,6118000140986,DISPAMOX 250 MG,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,18.00,11.90,18.00,G,70%
139,6118001150151,INTRONA,INTERFERON ALFA-2B,18,MUI,SOLUTION INJECTABLE,1 STYLO 1.5 ML,-,1200.00,1200.00,P,70%
140,6118000070108,AZITHRIX,AZITHROMYCINE,200,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 30 ML,99.00,61.70,99.00,G,70%
141,6118000040941,AZIX,AZITHROMYCINE,500,MG,COMPRIME PELLICULE,1 BOITE 3 COMPRIME,79.70,49.70,79.70,G,70%
142,6118010000966,SYNNAX,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME,41.20,25.70,41.20,G,70%
143,6118001101511,SYNNAX,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME,41.20,25.70,41.20,G,70%
144,6118000012436,NOZINAN,LEVOMEPROMAZINE,25,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME,16.20,10.10,16.20,P,70%
145,6118010116193,STILNOX CR,ZOLPIDEM,12.5,MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME PELLICULE,122.00,76.00,122.00,P,70%
146,6118000061823,STILNOX CR,ZOLPIDEM,12.5,MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME PELLICULE,122.00,76.00,122.00,P,70%
147,6118000140849,RAZON 40 MG,PANTOPRAZOLE,40,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 28 COMPRIME ENROBE GASTRO-RESISTANT,180.00,119.10,180.00,G,0%
148,6118001100996,ORGALUTRAN,GANIRELIX,0.25,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,512.60,339.70,512.60,P,0%
149,6118001120482,XALATAN,LATANOPROST,0.005,%,COLLYRE,1 FLACON 2.5 ML,157.00,97.80,157.00,P,70%
150,6118010115851,CEFTAJECT I.M 500 MG/2ML,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,55.00,-,55.00,G,70%
151,6118000241409,CEFTAJECT I.M 500 MG/2ML,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,55.00,-,55.00,G,70%
152,6118010000225,GLIDIABET,GLIBENCLAMIDE,5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,25.70,17.00,25.70,G,70%
153,6118010001918,OSCILLOCCINUM,SOUCHE HOMEOPATHIQUE,nan,nan,GLOBULE,1 BOITE 6 DOSE GLOBULE,71.50,47.30,71.50,P,0%
154,6118000120193,THIAZILIX,INDAPAMIDE,2.5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,50.00,31.20,50.00,G,70%
155,6118000040934,BISPIRAZOLE,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250,MUI / MG,COMPRIME ENROBE,1 BOITE 15 COMPRIME,79.90,49.80,79.90,G,70%
156,6118001140725,LACIPIL,LACIDIPINE,2,MG,COMPRIME ENROBE,1 BOITE 14 COMPRIME,75.00,-,75.00,P,70%
157,6118001141012,RETROVIR,ZIDOVUDINE,50,MG,SOLUTION BUVABLE,1 FLACON 200 ML,302.00,201.00,302.00,P,70%
158,6118001150458,OKA-ETOPOSIDE,ETOPOSIDE,100,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,126.00,78.70,126.00,G,70%
159,6118000080787,ORADEXON,DEXAMETHASONE,0.5,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,14.30,8.90,14.30,P,70%
160,6118000032694,NEOFORTAN 40MG,PHLOROGLUCINOL,40,MG,COMPRIME EFFERVESCENT,1 TUBE 10 COMPRIME EFFERVESCENT,40.00,26.40,40.00,G,0%
161,6118001230037,DIALYSE PERITONEALE BIEFFE FORMULE 55,CONCENTRE POUR DIALYSE PERITONEALE,nan,nan,SOLUTION POUR DIALYSE PERITONEALE,1 POCHE 2 L,82.60,-,82.60,P,70%
162,6118010000218,UN-ALFA 1 µG,ALFACALCIDOL,1,µG,CAPSULE,1 BOITE 30 CAPSULE,172.20,107.30,172.20,P,70%
163,6118001200740,UN-ALFA 1 µG,ALFACALCIDOL,1,µG,CAPSULE,1 BOITE 30 CAPSULE,172.20,107.30,172.20,P,70%
164,6118000161196,PENAMOX,AMOXICILLINE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,11.50,7.20,11.50,P,70%
